reviews.text,Evaluation
"Nice, clean, modern rooms right next to Chinatown and easy walking distance to Union Square. Weve stayed in several San Francisco hotels and this is one of our favorites. Very courteous, helpful hotel staff.We're happy you're happy! Thanks for taking the time to leave a review. It's cool to hear you enjoyed everything from our staff to our walk-able neighborhood. Hope you stay with us again soon! Best, Pablo B. General Manager",Good
"This was one of the best hotels I have stayed in. The staff and facilities are very customer focussed and make you feel a valued guest. The extensive hot breakfast is brilliant with items being varied every day and even made to order omelets. Lovely...MoreThank you for taking the time to write a review and for your comments about our breakfast, facilities, and pool. We are happy to hear you enjoyed your stay and it was of value to you. We hope to see you again in the future.",Good
"My wife and I do extended road trips and always try to find good local restaurants that focus on food and not necessarily on presentation. We then go 'high end' for a few days (boutique hotels and fancier restaurants). This falls in between the two.The hotel is very nice and clean but the rooms are quite small (at least the standard rooms). Staff is attentive and polite but do not expect high end resort attentiveness. Parking is valet and your 26 dollars a night is basically a parking fee. You can take the trolley to the Garden District and walk the rest of the Quarter (4 blocks to Bourbon, 3 to Jackson Sq. another 3 to French Market). We got a King bed, 2 people for roughly 90 a night (mon-tues). Not bad from what I could tell on internet searches",Good
We made our reservations months ahead when we planned out our trip to Sea World. Pictures on the internet and real time were different. Rooms were very small with need of some upgrading. Beds were comfortable but there was some outdoor (construction) and road noise. A very short walk to several Excellent Restaurants and bay was really nice to walk around and enjoy all the boats.Nice plus is that you are about 15 minutes from Sea World with No freeway driving.Perhaps when the remodel project is done we will visit again.,Good
"The facilities are beautiful and comfortable. The bedding was wonderful. Lots of places to sit and relax. The ocean and beach were enjoyable. Did not use the pool. The gift shop offered a variety. Parking was easy on my own.MoreHi Angela, Thank you so much for taking the time to write a review after your recent stay with us at Sonesta Resort Hilton Head Island. We are glad to hear that you had a wonderful stay and greatly appreciate your kind feedback. We hope...More",Good
"My family has been staying at this nice little hotel, run by En Chang, for over thirty years. It is well kept with new sound proofing and new A/c units. All units have nice, full kitchens. Room prices are very reasonable. Located just a block...More",Good
"I stay in a lot of hotels, especially for work, and I have to say, this was probably the best one overall, in terms of layout and provisions. My room was big (plenty of room for yoga). It had a large window, which had two blinds, one of which was blackout and in rails. This was amazing- it actually blocked the light out so I could sleep. It is actually very rare to find a hotel that has proper curtains or blinds that fully block the light out. The bed was comfy, and it had squishy feather/down pillows, which I love. The layout of the room was great- the fridge was under the sink not in the bedroom (great that there was a fridge) the shower space was large and actually had a shelf on which to put your bathroom products! Amazing! And amazingly useful! The shower space was large enough that you could turn it on and not get wet, and your shower products were not in the water, either. The room had a big TV on the wall opposite the bed, which had lots of pillows cushions to sit up on watch TV. The desk was a useful size, and had a plug hub (both electricity USB) (yay!). My only two gripes about the room were that there was no top sheet, which I find is far too common in Europe sometimes the USA, and I will never understand, because it can be too hot for a duvet and that there was only one towel hook in the bathroom, which would be awkward if you were two people. I did had to ask for more coat hangers, although that was no problem. I really liked that if you didn't get your room made-up, you got a voucher for the food/bar. That covered my brekky every morning! I did have some issue with noisy guests on my floor, but of course that's not the hotel's fault. The bar is pretty nice, with some very tasty drinks (pineapple chipotle margarita, anyone!) and a good atmosphere.",Good
"Manager was very nice. Bed was comfy, bathroom was big, and had a nice array of toiletries, a microwave and fridge. Very decent price and very quiet. Near all the attractions. Will definatly be staying here again when I visit CA.",Good
"Good breakfast. Responsive front desk. Comfortable rooms, especially the one bedroom. Excellent location. Lots of attractions and restaurants to go to, all within walking distance. Also within walking distance of businessessaves on taxi fare.robertacJ6657GM,We are sincerely appreciative of your complimentary remarks on your experience at the Hyatt House Seattle Downtown. I have shared your feedback with the team as we pride ourselves on the things we do right and how we can continually improve. Safe travels we hope to see you again while visiting the area!Sarah Junge",Good
This hotel is simple but clean and with charm. I like the room in the 4th floor. It is big and clean. The bathroom is quite enough and clean after a long stroll around the city. I feel that the bed is new and I saw too that they are delivering new bed mattress to the other rooms. The price I paid for the hotel is just enough for the expectations. Kinda just exact. I didn't have any negative vibes. The ladies staffs are great and helpful. I will come back on this hotel.,Good
