reviews.text,Evaluation
"We stayed here recently on our first trip to San Francisco, and I was a little apprehensive to stay at a boutique hotel to begin with, however, I was pleasantly surprised. The staff at this hotel are great, very friendly and helpful! They gave us a free upgrade, and also offer free wine tasting each night to allow you to mingle with the other guests.Its located in a great spot, within walking distance of Union Square, Chinatown, shops etc.My only piece of constructive criticism, it would be great if the hotel offered breakfast, it currently only offers complimentary tea and coffee. Other than that, a great stay, and I would recommend it!Dear evelyn466,Thank you for taking the time to share your feedback. We are elated to hear the time was able to ensure a great stay and that you enjoyed our unbeatable location, and daily wine hour. We hope to welcome you back in the not too distant future!Warm wishes,Jeffrey Rosenkrantz",Good
"Located just a few blocks from the bus station and Reading Terminal Market, the location is great for tourists! The pool and jacuzzi were small but great amenity, and the room was huge and quiet with a fabulous view, and they provided us with a nice and clean pack 'n play. Breakfast was pricey so we ate daily at Reading Terminal Market's Down Home Diner which was cheap and delish!Thank you for staying at the Courtyard Philadelphia Downtown and for your review and excellent rating. We are delighted our location was perfect for your needs and that you were impressed with your accommodation along with the great view it provided. We are also happy that our on-site amenities were to your liking. However, we are sorry for any inconvenience caused. We enjoyed having you as our guest and hope to have the opportunity to welcome you back in the future.Thank you, David KiddAssistant General Manager",Good
Great hotel. The vibe of the hotel makes you feel like you are in another time. Location is great a lot of good bars and eats in the area. Only downside would be wait staff in Supper was very slow and not very attentive. The...More,Good
"We arrived late at night after delayed Virgin flight, it was dark and we missed hotel entrance on first try as the sign is not lit up. The rooms are very generous size, 2 double beds, lovely comfortable mattress pillows, all new, the maid service was good, clean towels daily and room cleaned well. We were on the 4th floor, one room looking over the front of hotel the other room facing the pool, the pool view room was a little noisy at night but not a big problem as once it closed all was quiet again.Breakfast was fine, cereals, fruit (oranges, bananas, apples), bread toasters, bagels, scrambled eggs daily, sausages every other day alternating with some sort of porridge with scone like cakes (Americans call them biscuits), packets of porridge to mix yourself, hard boiled cold eggs, cream cheese, jams, muffins cinnamon rolls, orange juice (usual watered down cheap stuff) apple juice water, was ok but the breakfast area was very crowded with tables so when you went to get food drink you always had to squeeze past other people, coffee available all day. The hotel was still undergoing some renovation work on 3rd floor, 4th floor completed amd 5th floor I think was finished, we had a full size fridge in our rooms which was an unexpected bonus, there was also hairdrier iron + ironing board I didnt use them!) Laundry room on ground floor, 1.50 to wash and same to dry, only 2 machines though, not a problem when we were there but it was fairly quiet. The reception staff were very pleasant and helpful, seemed a safe area although we were in a car so didnt walk in the area at all, TGI restaurant nearby Golden Corral, cheapish buffet restaurant. Was concerned as hotel had changed names 3 times since we booked and had gone down the ratings chart but would certainly go to this hotel again. Very handy for Universal, just a few minutes drive and away from I Drive.Thank you for your kind review. Sorry that you had trouble finding us, our entrance sign is now illuminated. Our renovations have been completed and we hope to welcome you back on your next trip to Orlando!",Good
"Great surprise! Better than expected, we had a nice suite with 2 very comfortable queen beds and a sofa.Our room was clean and without any smell as mentioned in another reviews. It is a very good option for the price in this area close to Universal and walking distance to International drive. Nice staff.We will be back soon!Thank you for taking the time to write such a nice review about your stay with us. We hope you will be back soon!",Good
"I had my wedding here in August. The staff was extra nice throughout the planning process and the wedding went better than expected. The rooms were clean, the staff was helpful, and they accommodated all of my special requests I would highly recommend this hotel to a friend!Thank you for a terrific review! We are so thrilled that we could make your special day flawless. We hope that you and your new wife visit us again for many anniversaries to come!",Good
"The hotel staff was very friendly helpful. Breakfast was nice. Hotel was located close to everything. I would definitely consider staying here again for future visit to Dallas. PL (Third Party Booking) booked me for a King Smoking room, I did not need that the Manager helped me switch to something more accommodating.",Good
We stayed there during the packers game last week. The Morning lady was very friendly. We found out later that she the manager.Quick Check In and the restaurant was great.The hotel is little old but Hey you get what you pay for.Very Nice customer service. I would definitely be back.,Good
"We could not say more about this hotel. Everything was very efficient right from check in until we left. Wonderful beds, very helpful staff and great breakfast.",Good
"I stayed for 1 night as part of a business trip. It actually looked to be a relatively new hotel or maybe there upkeep is very good. Check in was quick. I noticed when walking to my room the hallway decor was a bit darker than a typical hotel. Brown carpet, dark room doors, I actually liked it better than... More",Good
"This hotel has it all... free WiFi, comfortable beds, free coffee, and ideal location. It's in the heart of it all. The staff (particularly Neil) are so super sweet, nice, and friendly. Everything was great. Yes, if you have a room that faces Bourbon, it can be loud. On the flip side, it is also fun. I got to watch street performers from the comfort of my room or join a friend on a balcony. LOVE.Dear ManayunkMichelle,Were pleased you loved your stay with us and enjoyed our comfortable beds, free amenities, and great location. Thank you for writing us a review, and we look forward to hopefully hosting you again in the future. Take care.",Good
"We picked this hotel based on location and price. San Francisco is very expensive and our son was here with his family for a conference. We liked the location-very close to small markets and restaurants and cable car stops, as well as shopping nearby in Union Square.The staff is very helpful and friendly and check in was fast and easy. The rooms are an average size and the bed was comfortable. There is a mini-fridge in the room as well as a small coffee maker. For some reason our frig kept freezing everything!There are plenty of outlets to charge devices.I only have a few negatives. The bathroom is so small!! You can't stand in front of the sink unless you close the bathroom door! There is really nowhere to hang a towel, except a hand towel. There is very little counter space to put anything. Lighting could be better. There is no light in the entry way where the closet is-so it is very dark to find clothes. Other than that, we enjoyed our stay at the hotel. Free wi-fi is always appreciated. It was extremely hot during our visit, so the air conditioner was a big help!",Good
"This hotel is very easy to find, right off the freeway. But wait to you are greeted by the amazing staff and Breakfast gals. They truly make you feel at home and comfortable. I will definitely be staying here again. This will be my go to hotel when I travel to San Diego!",Good
"We wanted to be close to public transportation, the wharf, and attractions. The room was nicely done and we could watch the sunset from our window. We had asked for early check-in but even though they told us we could get in at 2pm they did not have our room ready until the normal 4.00pm check-in. But they did give... More",Good
"The location was perfect for us. Away from the Bourbon St noise and convenient to pick up the tours we had booked from home. Always within walking distance of where we needed to be. I loved hearing the calliope on the steamship in the evening. The staff was always friendly, courteous and greeted us by name. The room was very comfortable. We had a king sundeck room. But our outdoor table and chairs were missing so we didn't get the chance to sit outdoor and just chill. The other 3 sundeck rooms had the table and chairs. Breakfast was average but at least it was there and available in the morning. I wish we had more time to spend in New Orleans. Now, at least I know where to book our room next time we visit. I would definitely book Bienville House again.We are so glad you enjoyed your stay at Bienville House and took the time to share your great experience with TripAdvisor. It sounds like the perfect trip! Please return soon to Bienville House for another great trip!",Good
"It is very close to the medical center and the UIC medical center. I walked from the hotel to the Greek neighborhood and it was just 25 minute walk. It is located close to the metro station.Rooms are spacious, clean, and the mattress was excellent. My only concern is the price, a little bit pricey.Marisa,Thank you for taking the time to give us feedback about your recent stay. We are delighted to know that the location was good for you and your guest room was clean and comfortable. I have shared your comments in regards to the price with the appropriate hotel staff. It was a pleasure having you as our guest. We look forward to accommodating you again, should your future travels bring you back this way.Have a great week!Stephanye",Good
"We stay at this hotel due to the great rooms, service and the year round ability to use the pool/spa. It's also has quick access to Hwy 84 and is only a short time to get to the airport. We'll be staying here again in a few weeks due to this convenience.",Good
"Wish I could rate it at 4.5. This was a clean, quiet, comfortable hotel. The price was what one can expect given the area in the middle of the summer. We were actually right next to the fitness room and close to the lobby but we were never disturbed. It is a short drive to the beach so the savings... More",Good
"My wife had a 4 year old child in Scottish Rite's ICU following a palette repair surgery. This hotel is in very close proximity to the hospital. We walked into the hotel around 10:30pm after a long day of surgery. We were met by a wonderful staff that had our room keys ready, 2 bottles of water, and we didn't have to fill anything out. We were in our rooms within a few minutes of pulling in the parking lot. The hotel was very clean and we were always met by friendly staff members as we came and went over the 2 days we were in the hotel.Dear CP171717,Thank you for staying with us at the Hampton Inn Atlanta Perimeter Center. We appreciate your time and comments concerning your recent stay with us. We are happy to know that our location worked out for you and your family. We hope that your child is recovering from their surgery and is well on the way to recovery.We know that you have many choices to stay while in our area and appreciate that you chose to stay with us. We hope that if your travels bring you back to our area that you will choose to stay with us again.",Good
"In the middle of a cross country move this hotel gave me exactly what I needed: accommodation for my pets, a downstairs room, and a clean quiet place to sleep. The proprietor and folks working there were polite and non-intrusive. While not new the hotel has been updated and there was enough parking to accommodate my truck and trailer. Not... More",Good
"Great staff, clean property felt like I was a valued guest. Great breakfast selections, laundry on site for a decent price. Only wish they had a hot tub to soak after long stressful days. If you need to visit the area I would recommend this property",Good
"We went for a boxing tournament. The building was run down but the rooms were clean, the beds and linen were very comfortable, the pool was well kept, the service was friendly, the continental breakfast was simple but enjoyable, the restaurant was good and the patrons were friendly. The price was right and we were surrounded by water.",Good
"Great stay...very clean and great location. We are Hotel owners ourselves and this place was spotless. Great pool and hot tub and a over the top breakfast with different things everyday. Like I said we will be back as there was just too many things...MoreYour business is very important to us and we value your feedback. By telling us what you liked about your stay and how we can improve, you are helping us deliver a superior experience for you and other guests in the future. We hope you...More",Good
Many aspects of our stay were exemplary. Super clean and well maintained. Professional and welcoming staff. Our room was so hot and we should have called for assistance. We don't really notice until it was near bedtime and we wanted to relax and not have...MoreWe are so glad you enjoyed yourselves! Thank you for your compliments. We are sorry to read of the temperature issue in your room we would have been happy to address the issue and find a solution for you to enjoy your evening. Please feel...More,Good
I really enjoyed our stay at the Hampton Inn! My family and I stayed for our son's regional powerlifting meet at Elkhart. The staff was friendly and the complimentary breakfast was awesome. Our room was clean as was all of the hotel. Definitely recommend staying here if you are needing a room in the area!,Good
"Stayed with the hotel twice for work. Friendly staff, clean, better than average complimentary breakfast. Great location within walking distance of some of Sheboygan's great restaurants. Be back soon!",Good
"I needed a hotel near a conference center in Orlando and had a hard time finding a decent one at a price that wasn't an arm and a leg. This one was about 2 miles from my conference location and was priced better than any around it. The lower price had me concerned but I searched the neighborhood and other reviews until satisfied. Glad I stayed here. It was clean, staff was polite and I felt safe (single woman traveler on this trip).",Good
"From the minute we walked in and were greated with a glass of wine (choice of red or white no less!), we felt welcomed. But when we got to our amazing room 2nd floor room with an incredible ocean view of Haystack Rock and found...More",Good
